,1
SR_Number,1-720284411
Status,Queued
ACTIVITY,Awaiting Assignment
Involved_ST_Function_Div,missing
Involved_Org_line_3,Other
Involved_ST,S18
SR_Latest_Impact,High
Product,PROD784
Country,pl
Owner_Country,Japan
time_from_start,0.071
time_from_previous_event(start),0.071
daytime,42329.542
weekday,Friday
# ACTIVITY=In Progress,0
# ACTIVITY=Awaiting Assignment,1
# ACTIVITY=Resolved,0
# ACTIVITY=Assigned,0
# ACTIVITY=Closed,0
# ACTIVITY=Wait - User,0
# ACTIVITY=Wait - Implementation,0
# ACTIVITY=Wait,0
# ACTIVITY=Wait - Vendor,0
# ACTIVITY=In Call,0
# ACTIVITY=Wait - Customer,0
# ACTIVITY=Unmatched,0
# ACTIVITY=Cancelled,0
