,4
SR_Number,1-657323705
Status,Accepted
ACTIVITY,Wait
Involved_ST_Function_Div,missing
Involved_Org_line_3,Org line V11
Involved_ST,V59 2nd
SR_Latest_Impact,Medium
Product,PROD235
Country,gb
Owner_Country,United Kingdom
time_from_start,4923.612
time_from_previous_event(start),2344.484
daytime,40630.256
weekday,Friday
# ACTIVITY=In Progress,3
# ACTIVITY=Awaiting Assignment,1
# ACTIVITY=Resolved,0
# ACTIVITY=Assigned,0
# ACTIVITY=Closed,0
# ACTIVITY=Wait - User,0
# ACTIVITY=Wait - Implementation,0
# ACTIVITY=Wait,0
# ACTIVITY=Wait - Vendor,0
# ACTIVITY=In Call,0
# ACTIVITY=Wait - Customer,0
# ACTIVITY=Unmatched,0
# ACTIVITY=Cancelled,0
